Day,Date,Vehicle,Runs,1 origin,1 arrival,2 origin,2 arrival,3 origin,3 arrival,4 origin,4 arrival,5 origin,5 arrival,6 origin,6 arrival,1 d time,1 a time,2 d time,2 a time,3 d time,3 a time,4 d time,4 a time,5 d time,5 a time,6 d time,6 a time,Fuel,Receipts,Women,Men,Child,0,500,1000,1500,2000,2500,3000,4000
8,20-Feb,UAQ146Q,4,KM,BK,BK,KM,KM,BK,BK,KM,,,,,7:44,9:50,10:55,12:08,13:00,14:45,16:17,17:37,,,,,70000,1,11,9,0,0,9,7,0,4,0,0,0
8,20-Feb,UAW296P,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,7:02,10:20,11:09,12:43,13:45,15:21,16:59,18:49,,,,,70000,2,12,5,0,0,7,4,0,6,0,0,0
9,21-Feb,UAW296P,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,6:22,8:40,9:30,11:20,12:30,14:33,16:01,5:58,,,,,70000,2,6,7,1,0,10,4,0,0,0,0,0
9,21-Feb,UAQ146Q,4,KM,BK,BK,KM,KM,BK,BK,KM,,,,,7:40,9:20,10:46,12:30,13:30,15:26,16:56,19:05,,,,,70000,1,16,6,0,0,6,5,0,11,0,0,0
9,21-Feb,UBA736E,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,6:30,8:18,8:22,10:16,12:03,14:16,16:35,18:53,,,,,70000,1,12,9,4,0,13,9,0,1,0,2,0
9,21-Feb,UAZ956Q,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,7:15,8:44,10:09,11:46,14:43,16:15,17:02,18:39,,,,,70000,1,10,10,1,0,8,7,0,5,0,1,0
9,21-Feb,UAW035Q,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,8:33,9:54,11:19,12:58,14:05,15:24,15:50,18:14,,,,,70000,2,11,7,3,0,17,3,0,1,0,0,0
9,21-Feb,UAW647C,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,6:45,8:22,9:33,11:15,12:55,14:40,15:19,17:05,,,,,70000,1,10,15,0,0,11,12,0,2,0,0,0
10,22-Feb,UAW296P,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,6:28,8:50,9:20,11:10,12:07,13:44,15:50,17:50,,,,,70000,2,14,10,2,0,13,9,2,2,0,0,0
10,22-Feb,UAQ146Q,4,KM,BK,BK,KM,KM,BK,BK,KM,,,,,8:00,9:49,10:37,12:07,13:00,14:50,16:31,18:11,,,,,70000,1,20,9,1,0,22,6,0,1,0,1,0
10,22-Feb,UAV638Y,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,7:22,9:24,11:03,12:57,15:00,16:26,17:00,18:42,,,,,70000,2,12,9,2,0,17,2,0,3,1,0,0
10,22-Feb,UAW647C,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,6:22,8:02,8:40,10:30,12:00,14:03,14:50,16:39,,,,,70000,2,11,10,4,0,13,7,0,4,0,1,0
10,22-Feb,UAZ956Q,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,7:40,9:12,10:20,11:50,14:00,15:19,16:20,18:02,,,,,70000,2,11,12,2,0,10,8,0,4,0,3,0
10,22-Feb,UBA736E,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,6:48,8:53,8:30,11:30,13:10,15:01,15:34,17:30,,,,,70000,1,19,12,3,0,21,12,0,1,0,0,0
11,23-Feb,UAQ146Q,4,KM,BK,BK,KM,KM,BK,BK,KM,,,,,7:45,9:33,10:33,13:20,14:00,15:00,16:32,18:50,,,,,70000,1,13,4,0,0,11,3,0,2,0,1,0
